id|name|eca|year
std0001|Coding Club|Academic|2024
std0002|Environment Club|Social|2022
std0002|Quiz Club|Academic|2023
std0002|Coding Club|Academic|2021
std0002|Science Club|Academic|2022
std0002|Debate Club|Academic|2022
std0002|Table Tennis|Sports|2022
std0003|Film Club|Creative|2024
std0003|Science Club|Academic|2023
std0005|Cricket|Sports|2021
std0006|Hiking Club|Adventure|2021
std0006|Boxing|Sports|2023
std0007|Quiz Club|Academic|2023
std0007|Taekwondo|Sports|2021
std0007|Volleyball|Sports|2021
std0008|Science Club|Academic|2021
std0008|Music Band|Creative|2022
std0009|Table Tennis|Sports|2021
std0009|Art Club|Creative|2021
std0010|Badminton|Sports|2021
std0010|Literary Club|Academic|2021
std0011|Swimming|Sports|2021
std0011|Environment Club|Social|2023
std0011|Red Cross|Social|2021
std0012|Basketball|Sports|2022
std0012|Table Tennis|Sports|2023
std0013|Quiz Club|Academic|2024
std0013|Boxing|Sports|2023
std0015|Cultural Dance|Creative|2024
std0015|Journalism Club|Academic|2021
std0016|Archery|Sports|2021
std0017|Cricket|Sports|2024
std0017|Boxing|Sports|2022
std0017|Student Council|Social|2022
std0017|Photography Club|Creative|2021
std0017|Cultural Dance|Creative|2021
std0019|Cycling Club|Sports|2021
std0019|Debate Club|Academic|2023
std0020|Quiz Club|Academic|2023
std0020|Photography Club|Creative|2022
std0021|Literary Club|Academic|2025
std0021|Hiking Club|Adventure|2024
std0022|Taekwondo|Sports|2024
std0024|Film Club|Creative|2022
std0024|Coding Club|Academic|2022
std0025|Archery|Sports|2023
std0025|Chess Club|Academic|2023
std0026|Science Club|Academic|2024
std0027|Art Club|Creative|2023
std0027|Hiking Club|Adventure|2023
std0027|Film Club|Creative|2023
std0027|Environment Club|Social|2023
std0028|Robotics Club|Academic|2022
std0028|Cricket|Sports|2025
std0029|Cycling Club|Sports|2025
std0029|Art Club|Creative|2022
std0030|Yoga Club|Wellness|2022
std0030|Swimming|Sports|2022
std0030|Cultural Dance|Creative|2022
std0030|Drama Club|Creative|2022
std0030|Cycling Club|Sports|2022
std0031|Taekwondo|Sports|2024
std0031|Hiking Club|Adventure|2024
std0032|Student Council|Social|2023
std0032|Taekwondo|Sports|2024
std0033|Film Club|Creative|2025
std0033|Cultural Dance|Creative|2024
std0035|Student Council|Social|2023
std0035|Drama Club|Creative|2023
std0036|Film Club|Creative|2024
std0036|Drama Club|Creative|2022
std0036|Cricket|Sports|2023
std0036|Boxing|Sports|2025
std0037|Quiz Club|Academic|2024
std0038|Environment Club|Social|2023
std0039|Football|Sports|2024
std0040|Football|Sports|2024
std0040|Swimming|Sports|2024
std0041|Art Club|Creative|2023
std0042|Student Council|Social|2024
std0042|Coding Club|Academic|2025
std0042|Football|Sports|2023
std0042|Environment Club|Social|2023
std0042|Cricket|Sports|2023
std0043|Photography Club|Creative|2024
std0043|Archery|Sports|2024
std0045|Music Band|Creative|2023
std0045|Volleyball|Sports|2023
std0048|Basketball|Sports|2024
std0049|Debate Club|Academic|2024
std0050|Yoga Club|Wellness|2025
std0050|Chess Club|Academic|2025
std0050|Hiking Club|Adventure|2023
std0050|Badminton|Sports|2025
std0050|Boxing|Sports|2025
std0051|Student Council|Social|2025
std0051|Volleyball|Sports|2025
std0053|Table Tennis|Sports|2023
std0053|Music Band|Creative|2023
